"totsp","livesp","kitsp","dist","metrdist","floor","price"
"77","46","10","12.7","2","1","0"
"78","60","11","14.5","10","1","0"
"74","50","8","10.5","10","0","0"
"85","52","11","9","10","1","0"
"64","45","6","14.5","10","1","0"
"65","39","11","12","5","1","0"
"78","44","8","13.5","1","1","1"
"74","45","10","13.5","5","1","0"
"80","48","9","14.5","7","1","1"
"75","45","10","12","7","1","0"
"82","52","12","13.5","10","0","0"
"61","41","6","13","10","0","0"
"78","46","10","12","15","1","0"
"64","45","7","12.5","10","1","0"
"101","65","15","10.5","20","1","1"
"65","40","8","17","5","1","0"
"60","45","6","9","7","1","0"
"57","38","6","7.5","6","0","0"
"85","54","11","8","10","1","0"
"67","47","6","12","5","1","0"
"80","56","9","12","5","1","1"
"62","37","8","12.5","10","1","0"
"57","43","6","12","5","1","0"
"55","40","6","10.5","10","1","0"
"73","43","11","12.7","10","0","0"
"75","52","9","7.5","10","1","0"
"66","44","9","12.5","15","1","0"
"99","65","11","9","10","1","1"
"77","46","10","12.5","10","1","0"
"75","45","10","12","7","1","0"
"58","43","5","12","15","0","0"
"110","55","11","12","1","1","1"
"81","60","13","13","5","1","1"
"67","45","9","13.5","10","0","0"
"145","82","14","4.5","3","1","1"
"85","56","12","6.5","10","1","1"
"78","46","10","5","10","1","1"
"56","38","6","7","10","1","0"
"78","50","9","13.5","15","0","0"
"77","44","10","13.5","5","1","0"
"82","52","10","3","3","1","1"
"66","48","8","12","1","0","0"
"66","43","10","9","10","1","0"
"77","45","10","5","10","1","1"
"77","46","11","13","5","1","0"
"57","42","6","10.5","4","1","0"
"87","57","7","10.5","3","1","0"
"80","53","9","7.5","15","1","1"
"80","50","10","7","7","1","0"
"57","46","6","12","10","1","0"
"74","53","7","4.5","7","1","0"
"70","42","10","14.5","7","1","0"
"61","49","6","12","10","1","0"
"108","62","12","13.5","10","1","1"
"80","46","10","7.5","10","1","0"
"68","46","8","12","15","1","0"
"100","56","12","12","10","1","1"
"51","34","6","9","5","0","0"
"65","47","9","5","10","1","0"
"63","40","8","12.5","10","1","0"
"59","44","6","7","5","0","0"
"83","50","11","12.7","15","1","0"
"82","53","9","11.5","10","1","0"
"66","43","6","15.5","5","0","0"
"56","39","6","12.5","10","1","0"
"64","40","8","17","5","1","0"
"59","43","6","13.5","15","1","0"
"85","51","10","12.7","3","1","0"
"69","44","10","12","5","1","0"
"60","44","10","12","10","0","0"
"75","46","10","13.5","10","1","0"
"71","52","8","8","10","0","0"
"80","45","13","12","5","1","0"
"55","40","6","11","5","1","0"
"79","45","10","13","7","0","0"
"79","45","13","12","3","1","0"
"77","42","10","6","5","1","0"
"77","46","8","12","15","0","0"
"74","45","8","5","15","1","1"
"54","37","6","14.5","10","1","0"
"74","45","11","17","10","1","0"
"72","50","9","7.5","10","1","0"
"60","44","6","12","10","1","0"
"68","44","8","10.5","5","1","0"
"74","49","9","7.5","10","1","0"
"76","45","10","17","10","1","0"
"51","34","6","7","7","1","0"
"58","39","6","10","7","1","0"
"68","46","8","12.5","7","1","0"
"75","44","13","12","10","1","0"
"76","44","10","14.5","9","1","0"
"56","36","6","17","10","1","0"
"87","55","10","6.5","5","1","1"
"74","44","10","10.5","7","0","0"
"74","51","9","10.5","7","1","0"
"68","53","6","12","10","1","0"
"66","37","7","11","7","1","0"
"69","40","9","13.5","15","1","0"
"84","46","10","13.5","7","1","0"
"56","33","6","8","10","0","0"
"60","44","6","7","7","1","0"
"80","50","8","10","5","1","1"
"55","38","6","3.5","5","0","0"
"64","44","9","12","12","1","0"
"55","35","8","7.5","7","1","0"
"75","44","10","13","2","1","0"
"78","50","8","9","10","0","0"
"75","53","8","11","3","1","0"
"65","39","9","17","10","1","0"
"64","41","7","14.5","3","1","0"
"99","70","9","7.5","7","1","1"
"52","35","6","13.5","10","1","0"
"78","52","7","11","7","1","0"
"74","47","10","3","5","0","1"
"87","51","12","12.7","6","0","1"
"84","52","8","6.5","3","1","0"
"81","49","9","13","10","1","0"
"74","51","9","7.5","10","1","0"
"79","45","13","9","20","1","0"
"77","45","9","12","5","1","0"
"55","35","6","9","10","1","0"
"50","34","6","12","5","0","0"
"58","42","5","12","10","1","0"
"75","45","10","12","5","1","0"
"52","36","6","10.5","15","0","0"
"100","63","9","13","7","1","0"
"59","42","6","12.5","10","0","0"
"90","57","8","10.5","2","1","1"
"81","51","14","9","3","1","1"
"51","35","6","10.5","3","1","0"
"85","53","9","10.5","7","0","0"
"90","54","13","7.5","7","1","1"
"100","65","11","9","10","1","1"
"81","45","9","14.5","10","0","0"
"65","44","7","13.5","10","1","0"
"65","45","7","14.5","10","0","0"
"79","53","9","8","15","1","1"
"90","52","13","10","3","1","1"
"63","45","7","13.5","10","1","0"
"78","51","9","6","15","1","0"
"57","42","6","13.5","5","1","0"
"80","46","13","12","15","0","1"
"75","45","10","7","15","0","1"
"88","55","14","17","5","1","0"
"74","45","10","12.7","7","1","0"
"63","38","8","10.5","10","1","0"
"49","33","6","14.5","10","0","0"
"121","71","12","10","3","1","1"
"59","44","6","9","5","1","0"
"66","43","7","17","5","1","0"
"81","56","9","6","5","0","0"
"90","55","10","9","7","0","0"
"74","56","8","4.5","7","1","1"
"78","46","11","12","5","1","0"
"79","51","12","3","8","1","1"
"96","51","12","13.5","10","0","0"
"63","42","7","13.5","15","1","0"
"55","38","5","6.5","5","1","0"
"69","47","6","12","10","0","0"
"77","42","8","6","15","1","1"
"112","64","16","14.5","5","1","1"
"61","42","6","12.5","5","1","0"
"78","45","10","13","7","1","0"
"64","38","8","10.5","15","0","0"
"76","54","8","10.5","15","0","0"
"65","45","7","12","7","1","0"
"85","50","8","6.5","2","1","0"
"75","45","10","13","5","1","0"
"58","38","6","12.5","10","0","0"
"72","50","8","10.5","10","1","0"
"68","53","6","13","10","1","0"
"65","41","11","12.5","15","1","0"
"64","45","6","17","5","1","0"
"78","47","9","5","10","1","1"
"89","57","9","7","5","1","1"
"128","70","18","7","5","1","1"
"60","38","6","17","7","0","0"
"65","39","8","12","15","1","0"
"113","58","13","13.5","10","1","0"
"77","50","8","12.5","15","0","0"
"73","52","8","11","10","1","0"
"64","40","9","12","10","1","0"
"59","45","5","10","15","1","0"
"71","47","8","7.5","10","1","1"
"72","51","8","6.5","5","1","0"
"76","45","10","12","7","1","0"
"77","46","9","13","5","0","0"
"79","48","9","10.5","5","0","0"
"69","44","8","8","10","1","0"
"100","50","10","15.5","10","1","0"
"63","39","8","14.5","15","1","0"
"77","45","10","10","5","1","0"
"77","45","10","13","10","1","0"
"68","44","9","12","7","1","0"
"96","58","14","7","5","1","1"
"66","39","8","17","10","0","0"
"123","68","16","14.5","10","0","1"
"75","45","10","17","3","1","0"
"63","44","7","17","3","1","0"
"83","46","12","13.5","10","1","0"
"64","41","9","13.5","12","1","0"
"84","54","8","7.5","10","1","1"
"78","45","10","14.5","10","1","1"
"84","55","11","3","15","1","0"
"65","43","10","12","5","1","0"
"57","37","5","12","7","1","0"
"86","50","10","13.5","10","1","0"
"57","45","6","12","15","1","0"
"80","48","11","12.7","5","1","0"
"80","44","13","10.5","10","1","0"
"95","51","11","6.5","3","1","1"
"60","43","6","12","10","1","0"
"114","67","15","14.5","10","1","1"
"61","43","6","14.5","7","1","0"
"77","47","11","11","7","1","0"
"70","44","8","15.5","7","0","0"
"78","44","11","12.7","10","1","0"
"59","38","6","7","10","1","0"
"66","44","7","3.5","10","1","0"
"75","46","10","12","5","1","1"
"76","45","10","13","10","1","0"
"60","35","8","11","5","1","0"
"53","35","7","11.5","5","0","0"
"77","46","10","6","10","1","0"
"108","65","14","14.5","15","1","1"
"85","52","10","12","10","1","0"
"57","37","6","13.5","10","1","0"
"134","70","16","9","5","1","1"
"56","42","5","6.5","5","0","0"
"70","43","10","12.7","10","0","0"
"66","39","8","14.5","15","1","0"
"79","45","8","11.5","2","1","0"
"64","45","7","13.5","7","1","0"
"74","45","10","13","15","1","0"
"60","41","6","14.5","7","0","0"
"81","46","13","9","7","1","1"
"66","42","9","8","7","1","0"
"62","38","9","17","7","0","0"
"61","38","6","13","10","0","0"
"66","47","6","4.5","2","0","0"
"64","45","6","13.5","7","1","0"
"57","43","6","8","5","0","0"
"64","46","7","17","15","0","0"
"76","40","11","12.7","10","1","0"
"70","45","10","9","10","1","0"
"94","57","8","10.5","15","1","0"
"75","43","10","17","10","1","0"
"92","62","18","6","7","1","1"
"73","49","8","11.5","5","0","0"
"86","55","10","9","10","1","1"
"61","42","6","12","7","1","0"
"80","40","14","12","10","1","0"
"59","40","6","10","5","1","0"
"82","47","11","12.5","10","0","0"
"84","52","11","13","5","1","0"
"66","45","10","12","5","1","0"
"60","45","6","13.5","7","1","0"
"55","35","6","14.5","5","1","0"
"61","43","6","12","15","1","0"
"71","42","10","12","5","0","0"
"58","44","6","7","7","0","0"
"80","47","9","13.5","10","1","0"
"74","44","10","12","15","0","0"
"81","54","8","7.5","12","1","1"
"82","48","8","13","10","1","0"
"78","48","12","9","4","1","1"
"58","33","5","11.5","5","1","0"
"108","56","15","11","5","1","1"
"79","45","13","14.5","5","1","0"
"64","44","9","7","3","1","1"
"86","51","8","12","2","1","1"
"56","37","6","10","1","0","0"
"66","38","7","11","7","1","0"
"70","45","8","8","7","0","1"
"56","40","5","12.5","5","1","0"
"76","43","8","12.5","5","1","0"
"59","46","6","10","15","1","0"
"63","35","8","11","7","1","0"
"77","43","8","10.5","10","1","0"
"76","45","10","12","15","1","0"
"74","41","9","6.5","5","1","1"
"77","46","10","10.5","15","1","0"
"67","43","9","13.5","10","1","0"
"72","47","10","13.5","7","0","0"
"59","41","6","9","5","0","0"
"52","34","6","17","10","0","0"
"84","55","9","4.5","5","1","1"
"72","42","9","12","5","1","0"
"56","42","5","6.5","5","0","0"
"106","58","24","9","5","1","1"
"84","52","11","12.7","20","1","0"
"80","45","13","12","10","1","1"
"78","52","9","11","5","1","0"
"63","47","6","13.5","5","1","0"
"56","38","6","13.5","10","0","0"
"50","34","6","13.5","2","1","0"
"75","45","10","14.5","10","1","0"
"76","45","10","12","5","1","1"
"75","45","9","10.5","7","1","0"
"113","85","20","9","10","1","1"
"70","40","9","13.5","5","0","0"
"107","64","13","14.5","10","1","1"
"75","46","10","7","12","1","0"
"60","43","6","15.5","5","1","0"
"76","50","10","5","5","1","1"
"55","37","6","10.5","10","1","0"
"64","44","7","12","5","1","0"
"77","40","11","12.7","15","1","0"
"59","44","6","12","10","1","0"
"78","46","10","14.5","7","1","0"
"90","57","13","14.5","15","1","0"
"60","44","6","15.5","15","0","0"
"60","39","6","4.5","10","1","0"
"67","41","9","13.5","7","1","0"
"64","42","7","14.5","5","1","0"
"64","42","9","17","10","0","0"
"82","54","8","3.5","10","1","0"
"56","43","6","3","10","1","0"
"77","44","10","14.5","5","1","0"
"65","39","8","12.5","20","1","0"
"83","53","8","12","5","1","1"
"76","45","10","13","10","1","0"
"75","53","10","12.5","5","1","1"
"105","55","14","17","5","1","1"
"64","45","6","12.5","10","1","0"
"120","59","15","7","10","1","1"
"73","45","7","9","1","1","0"
"58","43","5","7","10","1","0"
"58","40","6","6.5","5","0","0"
"84","48","9","12.7","5","1","0"
"58","38","8","11.5","7","1","0"
"80","48","9","7","5","1","1"
"73","54","9","3","10","1","1"
"65","43","5","7.5","5","1","0"
"80","51","7","7.5","7","1","0"
"55","42","6","14.5","5","1","0"
"58","37","6","12","10","1","0"
"80","53","9","7.5","10","1","1"
"75","52","12","3.5","5","1","1"
"90","52","13","10","3","1","1"
"81","48","10","3","5","1","1"
"63","38","8","10.5","5","0","0"
"75","52","9","10.5","5","1","0"
"60","43","6","12","5","1","0"
"92","48","13","9","1","1","1"
"61","45","6","13.5","15","1","0"
"77","45","10","17","10","1","0"
"83","53","9","13.5","10","1","0"
"101","59","15","8","7","1","1"
"76","46","10","12","3","1","0"
"55","39","6","8","10","0","0"
"75","46","10","13","7","0","0"
"69","43","6","17","5","1","0"
"95","57","12","5","5","0","1"
"75","52","9","11.5","10","0","0"
"86","58","12","3","5","1","1"
"79","47","9","14.5","7","1","1"
"62","39","8","17","10","1","0"
"80","48","13","15.5","10","1","0"
"74","46","11","12.5","10","0","0"
"72","46","8","10","5","1","0"
"78","46","9","10.5","10","1","0"
"88","59","9","9","10","0","1"
"84","53","10","15.5","15","1","0"
"86","53","9","11.5","1","1","1"
"59","38","8","14.5","5","1","0"
"90","57","7","3","3","1","1"
"54","36","5","3.5","12","1","0"
"80","45","13","12.5","5","1","0"
"54","38","6","10.5","5","1","0"
"80","48","13","14.5","10","1","1"
"72","43","10","12","10","1","0"
"65","39","8","12","5","1","0"
"53","39","5","3.5","7","0","0"
"67","46","8","12.5","15","1","0"
"65","45","7","14.5","12","1","0"
"77","51","7","5","5","0","0"
"65","45","11","7","7","1","0"
"93","57","9","10.5","5","1","0"
"77","44","10","8","10","1","1"
"75","46","10","6.5","1","1","1"
"60","38","6","12","5","1","0"
"88","55","11","6","3","1","1"
"74","45","10","13","10","0","0"
"53","34","6","13","15","0","0"
"58","37","7","13.5","15","1","0"
"103","54","11","9","5","1","1"
"80","51","8","11.5","15","1","0"
"81","48","8","13","7","1","0"
"88","63","8","8","5","1","0"
"59","38","6","13.5","10","1","0"
"74","45","10","12.5","2","1","0"
"60","43","6","13.5","5","0","0"
"192","92","18","7.5","5","1","1"
"105","58","11","9","5","1","1"
"65","45","7","7.5","2","1","1"
"57","40","6","8","5","1","0"
"80","51","10","13.5","10","1","0"
"101","51","15","7","7","1","1"
"83","48","9","12.7","5","1","0"
"66","44","6","9","3","0","1"
"84","45","11","7","10","1","0"
"103","80","14","3","3","1","1"
"63","43","9","13.5","7","1","0"
"60","37","8","12","8","1","0"
"63","37","8","14.5","5","1","0"
"96","57","9","7.5","5","1","0"
"76","46","10","13","7","1","0"
"67","41","9","12.5","10","1","0"
"69","47","8","5","10","1","0"
"86","53","9","10.5","5","0","0"
"100","57","10","13.5","15","0","1"
"77","41","10","12.7","10","1","0"
"61","45","6","13.5","15","1","0"
"75","50","10","12","3","1","0"
"83","48","9","13","15","1","0"
"51","34","6","14.5","10","1","0"
"60","44","6","13.5","5","1","0"
"75","48","13","12.7","5","1","0"
"53","33","9","3","10","1","1"
"83","53","9","4.5","5","0","1"
"72","46","11","12.5","10","0","0"
"68","46","8","15.5","10","0","0"
"90","58","11","4.5","7","1","1"
"77","53","9","7","8","1","0"
"74","43","10","14.5","5","1","1"
"75","54","7","12","7","1","0"
"54","34","11","3","10","1","0"
"76","48","9","13.5","10","1","0"
"63","45","7","13.5","7","1","0"
"83","44","10","12","10","1","0"
"77","54","8","10.5","12","0","0"
"68","46","8","10.5","10","1","0"
"81","56","9","6","7","0","0"
"65","40","8","14.5","15","1","0"
"78","44","10","13","15","1","0"
"105","55","23","10","5","1","1"
"97","63","11","10","7","1","1"
"63","42","7","13.5","7","1","0"
"77","45","10","6","7","1","0"
"66","44","7","13.5","10","1","0"
"76","45","10","7","10","1","1"
"60","44","6","12","10","0","0"
"59","45","6","10","7","0","0"
"94","59","11","12.7","2","1","1"
"85","61","8","12","7","1","1"
"77","43","10","8","10","1","1"
"55","36","6","14.5","7","0","0"
"108","65","12","13.5","10","1","1"
"76","51","9","13.5","5","1","0"
"79","51","10","13.5","10","1","0"
"78","49","14","9","4","1","1"
"74","43","10","9","5","1","1"
"68","46","8","9","5","1","0"
"78","45","10","12","2","1","0"
"76","54","9","13","5","0","0"
"64","43","9","12","7","1","0"
"72","45","10","3","3","1","1"
"125","70","18","7","10","1","1"
"78","44","9","13.5","20","1","0"
"60","44","6","13","15","0","0"
"74","43","10","17","12","1","0"
"68","32","13","3","10","1","0"
"58","41","6","9","3","1","0"
"83","44","10","13","10","0","0"
"76","45","10","13","5","1","0"
"82","48","9","10.5","10","0","0"
"57","42","6","7.5","15","1","0"
"52","34","6","13","15","1","0"
"78","44","10","12","10","0","0"
"68","44","10","5","7","1","0"
"78","53","8","8","10","0","0"
"55","40","5","7","2","1","0"
"80","38","11","12.7","10","1","0"
"77","44","10","17","3","0","0"
"75","46","10","11","10","1","0"
"80","45","13","12","10","1","0"
"76","45","10","7","10","1","0"
"74","42","10","13.5","10","1","0"
"92","60","14","9","10","0","1"
"53","39","6","12","10","1","0"
"78","46","10","12.7","10","1","0"
"74","53","8","11","5","1","0"
"60","41","6","12","10","1","0"
"60","43","6","12","5","1","0"
"78","48","9","12.5","15","1","0"
"84","56","9","3.5","4","1","0"
"65","44","8","9","5","1","0"
"63","40","8","11","12","1","0"
"110","56","15","12.5","3","1","1"
"95","62","10","12.7","5","1","1"
"80","45","13","12","5","1","1"
"75","46","10","7","10","1","0"
"61","45","6","13.5","5","0","0"
"68","47","8","13.5","7","1","0"
"76","46","10","12","15","0","0"
"78","54","9","6.5","5","1","0"
"51","36","6","17","5","1","0"
"60","44","6","10.5","3","1","0"
"81","53","8","11.5","4","1","0"
"55","37","6","7.5","7","1","0"
"76","44","9","5","7","1","0"
"73","51","8","12.5","15","1","0"
"79","45","13","14.5","7","1","0"
"64","39","8","12.5","10","0","0"
"109","58","18","12.7","2","1","1"
"72","53","8","3","10","0","0"
"104","60","16","12","10","1","1"
"57","37","5","12","7","1","0"
"80","50","8","9","15","1","1"
"56","35","6","12","7","1","0"
"87","62","10","4.5","5","1","1"
"72","42","11","6.5","5","1","1"
"69","42","9","14.5","15","1","0"
"61","44","7","12","5","1","0"
"60","45","6","13.5","10","1","0"
"77","45","10","10","7","1","0"
"93","57","12","12.7","5","1","1"
"83","44","10","12.7","10","1","0"
"75","47","10","13","10","1","0"
"84","57","9","10.5","7","0","1"
"57","40","5","13.5","10","1","0"
"82","54","8","9","7","1","1"
"55","35","6","9","7","1","0"
"74","41","9","6.5","5","1","1"
"90","53","13","10","7","1","1"
"119","70","17","9","5","1","1"
"72","46","10","9","5","1","1"
"80","52","14","12","7","1","0"
"61","38","9","12","5","1","0"
"73","43","11","9","10","1","0"
"53","34","6","7.5","3","0","0"
"60","40","7","13.5","9","1","0"
"54","35","5","12.5","10","1","0"
"61","40","6","13.5","10","1","0"
"83","53","12","12","15","1","0"
"77","45","10","14.5","10","1","0"
"56","43","5","6.5","7","1","0"
"145","66","16","12.7","3","0","1"
"59","41","6","11","10","1","0"
"58","38","7","13.5","5","1","0"
"65","45","7","13.5","7","1","0"
"98","52","12","10","7","1","1"
"77","45","10","13.5","5","1","0"
"100","54","12","6.5","3","1","1"
"111","65","16","14.5","6","1","0"
"60","45","6","15.5","5","1","0"
"65","45","7","14.5","10","1","0"
"90","54","8","12","15","1","0"
"80","47","10","12","15","1","0"
"64","45","9","15.5","12","0","0"
"76","45","11","12","5","1","0"
"100","66","21","9","15","1","1"
"84","53","12","12.7","15","1","0"
"64","46","6","7","3","1","0"
"64","44","9","15.5","5","1","0"
"60","39","6","3.5","3","1","0"
"60","44","6","15.5","5","1","0"
"64","45","7","13.5","5","1","0"
"66","45","10","11.5","10","1","0"
"75","53","9","11.5","10","0","0"
"60","43","6","12","6","1","0"
"65","45","7","12.5","15","1","0"
"78","46","10","13.5","10","1","0"
"66","44","10","14.5","7","1","0"
"77","45","10","17","7","1","0"
"70","40","6","12","2","0","0"
"90","61","10","10.5","3","1","1"
"58","45","6","10","3","1","0"
"70","50","9","6","10","0","0"
"80","45","13","12","5","1","0"
"52","35","6","12","10","1","0"
"75","45","10","13.5","5","0","0"
"110","52","17","11.5","5","1","1"
"59","42","6","10.5","7","0","0"
"76","45","10","13.5","10","1","0"
"73","41","10","12","5","1","0"
"58","38","6","7","10","1","0"
"102","73","10","9","7","1","1"
"51","34","6","12","7","0","0"
"61","44","6","12.5","3","1","0"
"84","52","8","12","7","1","0"
"76","44","10","12.5","5","1","0"
"66","44","9","12","5","1","0"
"65","45","7","17","10","0","0"
"56","40","5","3.5","10","0","0"
"66","44","9","11.5","7","0","0"
"85","47","11","12.7","5","1","1"
"81","48","8","13","15","1","0"
"66","43","7","17","2","1","0"
